request_id,start_cycle,completion_cycle,latency_cycles,device_id,process_id,iova,transaction_type,iotlb_hit,iotlb_miss,ddt_walk,pdt_walk,s1_ptw,s2_ptw,ds_access_count,success,error,cause_code,physical_address
1,100,157,57,10,0,0x0000000000004000,READ,False,True,True,False,True,False,4,True,False,0,0x00000000beef0000
2,200,214,14,20,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
3,300,314,14,30,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
4,400,414,14,40,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
5,500,544,44,50,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
6,600,614,14,10,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
7,700,714,14,20,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
8,800,814,14,30,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
9,900,944,44,40,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
10,1000,1014,14,50,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
11,1100,1114,14,10,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
12,1200,1214,14,20,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
13,1300,1344,44,30,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
14,1400,1414,14,40,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
15,1500,1514,14,50,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
16,1600,1614,14,10,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
17,1700,1744,44,20,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
18,1800,1814,14,30,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
19,1900,1914,14,40,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
20,2000,2014,14,50,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
21,2100,2144,44,10,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
22,2200,2214,14,20,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
23,2300,2314,14,30,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
24,2400,2414,14,40,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
25,2500,2544,44,50,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
26,2600,2614,14,10,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
27,2700,2714,14,20,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
28,2800,2814,14,30,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
29,2900,2944,44,40,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
30,3000,3014,14,50,0,0x0000000000004000,READ,True,False,True,False,False,False,1,True,False,0,0x00000000beef0000
